Methanol;Methanol;
4.02568238707969E-10;7.3054301635;
5.01776897364383E-10;6.6637125043;
5.09592163172723E-10;6.9986239837;
4.5548473417492E-10;6.571065829;
4.64301689801515E-10;6.5873931468;
4.44264577014287E-10;6.866242143;
4.18991758233662E-10;6.950809605;
4.08362359915587E-10;6.7708910735;
4.22499395888214E-10;6.7907003103;
4.6408740794834E-10;6.6621495882;
4.04549886833229E-10;6.9323194788;
3.97893421893374E-10;6.6740340154;
4.08312572546391E-10;6.8663342737;
3.92299027008328E-10;6.3944845772;
4.25968320005018E-10;6.4475624162;
3.64929664957045E-10;6.7601178247;
3.69102590992733E-10;7.0343212147;
3.93751955275483E-10;6.5306524564;
3.77592227362619E-10;6.6845831657;
4.19377358085655E-10;6.4034544248;
4.05193971595808E-10;6.5418471451;
3.4595168415787E-10;6.6791947709;
3.51376535647255E-10;6.7761579347;
3.21750593658979E-10;6.374429757;
3.43953643918046E-10;6.4057275473;
3.21911559389144E-10;6.6997760229;
3.2774710924016E-10;7.015179883;
3.57597689172069E-10;6.4261518159;
3.28584136177223E-10;6.6284119542;
3.30089033168452E-10;6.4411818417;
3.53037005885665E-10;6.4631998163;
3.19980815290117E-10;6.6817751486;
3.22694882258409E-10;6.6948037123;
3.21044066443857E-10;6.3677021038;
3.0612615665464E-10;6.3947523432;
3.12233179831559E-10;6.6288539634;
3.3401028809621E-10;6.8758121165;
3.39520556120363E-10;6.3739014956;
3.20893192761659E-10;6.4866604175;
3.00678684234973E-10;6.4487078524;
3.3115355079831E-10;6.4050653942;
3.37391364951343E-10;6.6764942206;
3.27999736144432E-10;6.569738223;
3.36927036655794E-10;6.3817215586;
3.27062908101867E-10;6.391297069;
3.25075054535012E-10;6.5203474215;
3.5562431098785E-10;6.5549207929;
3.35152096733958E-10;6.3841729592;
3.17617228833341E-10;6.4089334231;
3.09914355975514E-10;6.4345024549;
3.27157583174235E-10;6.3868187603;
3.53748860268616E-10;6.5118522956;
3.32021020626151E-10;6.4438484896;
3.63968999334465E-10;6.4260810798;
3.66336047912389E-10;6.4130683318;
3.41455707598842E-10;6.3955434917;
3.67224413256099E-10;6.28580565;
3.4622649245126E-10;6.411380622;
3.1614279493497E-10;6.3729055092;
3.30722896558969E-10;6.4270250613;
3.45720418249648E-10;6.3954329174;
3.6263545970183E-10;6.3734368339;
3.36591045899278E-10;6.3681395964;
3.78624078333197E-10;6.3427642157;
3.8609112849627E-10;6.330380433;
3.74220186823896E-10;6.2988664323;
3.73024464390223E-10;6.1512480786;
3.53503525315327E-10;6.3258648493;
3.31727660014543E-10;6.3399798953;
3.4751377250992E-10;6.4144258485;
3.72562151017721E-10;6.3725174674;
3.71488689150841E-10;6.2293116803;
3.56714909837136E-10;6.3027703009;
3.84642378517803E-10;6.2956281051;
3.86509658021578E-10;6.2823818672;
3.90602426436423E-10;6.2505279026;
3.76608059192867E-10;6.1232479481;
3.70059143928106E-10;6.2663422367;
3.50338940498635E-10;6.3065836177;
3.59793098087791E-10;6.3906753526;
3.86532633081229E-10;6.3257113076;
3.77211712902376E-10;6.1934634516;
3.7633125507194E-10;6.2663560126;
3.83465405827932E-10;6.2154015028;
3.78256354565997E-10;6.2135958146;
3.86142523749291E-10;6.2122056443;
3.78643180786564E-10;6.1398055863;
3.82786920514308E-10;6.1873516921;
3.70405270120773E-10;6.2152804935;
3.69174633440013E-10;6.2642598391;
3.87553444611226E-10;6.3013645933;
3.80073224778143E-10;6.1755393372;
3.86395661024591E-10;6.2119667143;
3.826003880477E-10;6.1712546237;
3.77987493724756E-10;6.176629462;
3.81156278108045E-10;6.1731081481;
3.83258403694505E-10;6.1940621348;
3.89150808807409E-10;6.1478564198;
3.81593022018102E-10;6.1636650404;
3.86575324344877E-10;6.2002867171;
3.87510957819294E-10;6.2084262804;
3.84138494325752E-10;6.1762679996;
3.90471285705351E-10;6.1670672851;
3.88098191809766E-10;6.1356423142;
3.86780651953131E-10;6.1552415826;
3.82303448492282E-10;6.1495066703;
3.89592900158945E-10;6.1966757431;
3.9233275295396E-10;6.1281087836;
3.89061323884155E-10;6.1267596695;
3.97634435325996E-10;6.1166202764;
3.87838287968143E-10;6.1263981172;
3.8693475544538E-10;6.1674546724;
3.91992889987206E-10;6.1314901505;
3.90614427893809E-10;6.1142550752;
3.91966581804577E-10;6.1339866827;
3.87115011431546E-10;6.1212915743;
3.91237760667705E-10;6.1407303706;
3.91622128799517E-10;6.1178454251;
3.92355460221351E-10;6.1081336884;
3.93729315933129E-10;6.0800808864;
3.88001953042568E-10;6.0853840357;
3.88456229739317E-10;6.1547218136;
3.9203503384967E-10;6.1102628759;
3.90890123147008E-10;6.0944155243;
3.92890201278438E-10;6.0783587237;
3.89814387950355E-10;6.1020926494;
3.90691860626283E-10;6.0682827101;
3.88220725457839E-10;6.0990726944;
3.89701285713706E-10;6.0930746361;
3.87583963525396E-10;6.0637792248;
3.88083785579781E-10;6.0648769949;
3.8898804646238E-10;6.091138475;
3.90209650530574E-10;6.0808499062;
3.90354231657472E-10;6.0641978172;
3.90876144523601E-10;6.0501021278;
3.90457579826064E-10;6.088689127;
3.88748380516682E-10;6.0287689002;
3.86385634525981E-10;6.065160055;
3.86883821468276E-10;6.082872174;
3.84973998319677E-10;6.0558183182;
3.88124701848387E-10;6.0546234745;
3.88674768098911E-10;6.05197934;
3.87802068773644E-10;6.0633834115;
3.88934492211923E-10;6.023768696;
3.88021041184105E-10;6.0176200606;
3.89853108443452E-10;6.073412845;
3.87776640461881E-10;6.0090119952;
3.8549445562736E-10;6.0248953984;
3.85486787101647E-10;6.0637045701;
3.84487125555655E-10;6.0443294517;
3.88602509338757E-10;6.0406566973;
3.88526084133995E-10;6.0190655959;
3.87343012619325E-10;6.0510394018;
4.97121699897134E-10;8.3754821479;
4.61014913004444E-10;8.3212817957;
5.11215763050047E-10;8.4807237114;
4.94643443053166E-10;8.3104570733;
5.99469995349462E-10;9.6166175169;
5.44734177476424E-10;9.1575850098;
6.33216981022339E-10;8.3643639874;
